DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2011,32700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2012,33900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2013,34100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2014,35100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2015,35700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2016,36900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2017,38400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2018,39300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2019,40900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT22,2020,39000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2000,25700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2001,26500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2002,27000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2003,27700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2004,28700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2005,30400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2006,31900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2007,33700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2008,35300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2009,34100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2010,35200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2011,37200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2012,38100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2013,39000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2014,39900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2015,40600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2016,41600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2017,42900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2018,44800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2019,45700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT31,2020,43700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2000,29700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2001,30400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2002,31300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2003,31900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2004,33500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2005,35000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2006,37000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2007,39700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2008,40500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2009,39600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2010,41500,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2011,43400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2012,45000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2013,45000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2014,45700,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2015,47300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2016,48900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2017,50200,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2018,51800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2019,53400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT32,2020,49900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2000,26800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2001,27800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2002,28600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2003,29400,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2004,30300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2005,32100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2006,33900,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2007,35600,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2008,36100,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2009,35800,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2010,36300,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2011,38000,
ESTAT:NAMA_10R_2GDP(1.0),18/04/22 23:00:00,A,EUR_HAB,AT33,2012,39500,
