freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,F,TOTAL,BE31	161155 	164273 	166476 	168615 	170534 	172382 	173781 	175098 	176693 	178179 	179552 	180698 	182428 	183983 	185470 	187044 	188573 	190692 	192363 	193468 	195407 	197443 b	199137 b	200447 	201753 b	203060 	204723 	205762 	206773 	208006 	209323 
A,NR,M,TOTAL,BE31	154203 	157031 	159145 	160999 	162432 	164123 	165281 	166467 	167815 	169244 	170332 	171320 	172779 	174029 	175247 	176732 	177908 	179768 	181129 	182177 	184108 	186205 b	187546 b	188861 	189856 b	191284 	193022 	193973 	194735 	196264 	197471 
A,NR,T,TOTAL,BE31	315358 	321304 	325621 	329614 	332966 	336505 	339062 	341565 	344508 	347423 	349884 	352018 	355207 	358012 	360717 	363776 	366481 	370460 	373492 	375645 	379515 	383648 b	386683 b	389308 	391609 b	394344 	397745 	399735 	401508 	404270 	406794 
A,NR,F,TOTAL,BE32	661806 	663000 	664429 	665851 	666174 	666053 	665203 	665043 	664282 	663126 	662768 	663046 	663559 	663683 	664333 	665830 	667809 	670071 	672749 	674786 	677118 	681303 b	684171 b	686736 	687666 b	688617 	689295 	689584 	689898 	690579 	692106 
A,NR,M,TOTAL,BE32	616233 	617336 	618823 	620083 	620465 	620596 	619558 	619304 	618501 	617301 	616699 	616777 	617483 	618023 	618867 	620445 	622270 	624773 	627348 	629650 	632762 	638442 b	641648 b	644719 	646757 b	649163 	651972 	652469 	653858 	655503 	658189 
A,NR,T,TOTAL,BE32	1278039 	1280336 	1283252 	1285934 	1286639 	1286649 	1284761 	1284347 	1282783 	1280427 	1279467 	1279823 	1281042 	1281706 	1283200 	1286275 	1290079 	1294844 	1300097 	1304436 	1309880 	1319745 b	1325819 b	1331455 	1334423 b	1337780 	1341267 	1342053 	1343756 	1346082 	1350295 
A,NR,F,TOTAL,BE33	515075 	516331 	518466 	520915 	522309 	523071 	522850 	523365 	524107 	524625 	525171 	525457 	527215 	527940 	529527 	531768 	535015 	538448 	541374 	544127 	547958 	554469 b	557153 b	559300 	560363 b	561531 	563284 	564187 	565367 	566224 	567742 
A,NR,M,TOTAL,BE33	483138 	484365 	487615 	490453 	492380 	491936 	490879 	491576 	492655 	493634 	494271 	494585 	496915 	497902 	500078 	502256 	505282 	508966 	512348 	515908 	519727 	527667 b	530921 b	533891 	535298 b	537372 	540206 	541852 	543004 	543844 	546201 
A,NR,T,TOTAL,BE33	998213 	1000696 	1006081 	1011368 	1014689 	1015007 	1013729 	1014941 	1016762 	1018259 	1019442 	1020042 	1024130 	1025842 	1029605 	1034024 	1040297 	1047414 	1053722 	1060035 	1067685 	1082136 b	1088074 b	1093191 	1095661 b	1098903 	1103490 	1106039 	1108371 	1110068 	1113943 
A,NR,F,TOTAL,BE34	117406 	118329 	119184 	120305 	120891 	121954 	122524 	123155 	123693 	124448 	125193 	126122 	126902 	127746 	128541 	129422 	130735 	132113 	133416 	134852 	135844 	137637 b	138716 b	139738 	140124 b	140989 	141679 	142444 	142874 	143541 	144898 
A,NR,M,TOTAL,BE34	113421 	114411 	115480 	116545 	117251 	118327 	118815 	119371 	120097 	120692 	121627 	122628 	123504 	124549 	125579 	126582 	127812 	129065 	130668 	132098 	133179 	135568 b	136997 b	137952 	138095 b	139272 	141578 	142173 	142136 	143144 	144708 
A,NR,T,TOTAL,BE34	230827 	232740 	234664 	236850 	238142 	240281 	241339 	242526 	243790 	245140 	246820 	248750 	250406 	252295 	254120 	256004 	258547 	261178 	264084 	266950 	269023 	273205 b	275713 b	277690 	278219 b	280261 	283257 	284617 	285010 	286685 	289606 
A,NR,F,TOTAL,BE35	216463 	217601 	219039 	220517 	221785 	222952 	223691 	224670 	225581 	226866 	228180 	229120 	229957 	231263 	232425 	233964 	235205 	236998 	238483 	240206 	241957 	245311 b	246673 b	247634 	248369 b	249563 	250714 	251509 	251964 	252962 	253983 
A,NR,M,TOTAL,BE35	204761 	206118 	207266 	209069 	210318 	211494 	211986 	212756 	213283 	214339 	215723 	216704 	217818 	219132 	220431 	221899 	223369 	224985 	226897 	228399 	230324 	234075 b	236055 b	237246 	237861 b	239313 	241360 	242618 	243194 	243929 	245450 
A,NR,T,TOTAL,BE35	421224 	423719 	426305 	429586 	432103 	434446 	435677 	437426 	438864 	441205 	443903 	445824 	447775 	450395 	452856 	455863 	458574 	461983 	465380 	468605 	472281 	479386 b	482728 b	484880 	486230 b	488876 	492074 	494127 	495158 	496891 	499433 
A,NR,F,TOTAL,BG31	606677 	601465 	597218 	591604 	587224 	580989 	575562 	571300 	565572 	557819 	551646 	544991 	517775 	506473 	496040 	486042 	476008 	466516 	457351 	448785 	440350 	431353 	425797 	419368 	413173 	406590 	400103 	393142 	386458 	379976 	373046 
A,NR,M,TOTAL,BG31	592327 	586155 	581270 	575083 	570000 	562973 	556644 	551771 	545303 	536668 	529611 	522189 	497528 	487305 	477513 	468353 	458747 	449792 	441020 	432788 	424982 	416877 	410804 	404101 	397228 	390552 	383806 	376481 	369498 	362328 	355111 
A,NR,T,TOTAL,BG31	1199004 	1187620 	1178488 	1166687 	1157224 	1143962 	1132206 	1123071 	1110875 	1094487 	1081257 	1067180 	1015303 	993778 	973553 	954395 	934755 	916308 	898371 	881573 	865332 	848230 	836601 	823469 	810401 	797142 	783909 	769623 	755956 	742304 	728157 
A,NR,F,TOTAL,BG32	584008 	574544 	568440 	558765 	557482 	556842 	554891 	550940 	546315 	541409 	537552 	534160 	503321 	495359 	487862 	480722 	473447 	466435 	459865 	453587 	448063 	442282 	437922 	433219 	428801 	423532 	418341 	413476 	408314 	403182 	397975 
A,NR,M,TOTAL,BG32	566694 	555594 	549121 	538224 	535677 	533045 	529899 	525315 	519960 	514207 	510118 	505957 	479179 	471610 	464163 	457351 	450196 	443527 	437210 	431270 	425738 	419838 	415546 	411292 	407012 	402004 	397100 	391965 	386684 	380986 	375475 
A,NR,T,TOTAL,BG32	1150702 	1130138 	1117561 	1096989 	1093159 	1089887 	1084790 	1076255 	1066275 	1055616 	1047670 	1040117 	982500 	966969 	952025 	938073 	923643 	909962 	897075 	884857 	873801 	862120 	853468 	844511 	835813 	825536 	815441 	805441 	794998 	784168 	773450 
A,NR,F,TOTAL,BG33	558859 	551557 	546768 	539848 	539421 	536442 	533340 	531970 	528678 	526383 	523148 	519289 	517051 	513861 	510932 	508350 	505782 	503200 	500604 	497872 	495644 	492578 	490678 	488538 	487392 	485314 	482815 	480464 	478184 	476288 	474694 
A,NR,M,TOTAL,BG33	550327 	542060 	535785 	527400 	525395 	521215 	516789 	514164 	509851 	506418 	502871 	498559 	496822 	493718 	490715 	488183 	485435 	482925 	480539 	478190 	476288 	473750 	471287 	468922 	467144 	464643 	461643 	458798 	455521 	452747 	450176 
A,NR,T,TOTAL,BG33	1109186 	1093617 	1082553 	1067248 	1064816 	1057657 	1050129 	1046134 	1038529 	1032801 	1026019 	1017848 	1013873 	1007579 	1001647 	996533 	991217 	986125 	981143 	976062 	971932 	966328 	961965 	957460 	954536 	949957 	944458 	939262 	933705 	929035 	924870 
A,NR,F,TOTAL,BG34	640025 	637570 	635586 	631194 	630897 	630873 	628786 	626587 	622387 	618933 	616729 	614517 	590457 	585123 	580091 	575678 	571083 	566804 	562441 	558530 	554944 	550689 	548113 	546249 	544464 	542653 	540171 	537438 	534734 	531349 	527884 
A,NR,M,TOTAL,BG34	631421 	626744 	623833 	617656 	615712 	614179 	610317 	606567 	601368 	596674 	592957 	588852 	567254 	561974 	556937 	552424 	547967 	543540 	539658 	535723 	532237 	527908 	524737 	521732 	519226 	515862 	512404 	508687 	504815 	500730 	496231 
A,NR,T,TOTAL,BG34	1271446 	1264314 	1259419 	1248850 	1246609 	1245052 	1239103 	1233154 	1223755 	1215607 	1209686 	1203369 	1157711 	1147097 	1137028 	1128102 	1119050 	1110344 	1102099 	1094253 	1087181 	1078597 	1072850 	1067981 	1063690 	1058515 	1052575 	1046125 	1039549 	1032079 	1024115 
A,NR,F,TOTAL,BG41	1130878 	1126165 	1120772 	1114154 	1112404 	1112342 	1110985 	1108449 	1105918 	1106528 	1108293 	1108845 	1092408 	1095865 	1098613 	1100576 	1101794 	1102559 	1102921 	1103822 	1104998 	1105057 	1103761 	1102083 	1101132 	1100038 	1097850 	1094690 	1091033 	1087435 	1083461 
A,NR,M,TOTAL,BG41	1085518 	1078873 	1071269 	1061439 	1056757 	1053271 	1048252 	1043323 	1037964 	1035217 	1034407 	1034265 	1014856 	1017458 	1019797 	1021529 	1022655 	1023623 	1024577 	1026033 	1027636 	1028674 	1027472 	1026700 	1026486 	1025174 	1023335 	1020654 	1017361 	1014770 	1010799 
A,NR,T,TOTAL,BG41	2216396 	2205038 	2192041 	2175593 	2169161 	2165613 	2159237 	2151772 	2143882 	2141745 	2142700 	2143110 	2107264 	2113323 	2118410 	2122105 	2124449 	2126182 	2127498 	2129855 	2132634 	2133731 	2131233 	2128783 	2127618 	2125212 	2121185 	2115344 	2108394 	2102205 	2094260 
