freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,F,Y65-69,UKK1	: 	: 	54200 	52900 	51900 	51300 	50700 	50200 	50100 	49700 	49457 	49131 	48932 	49102 	49757 	50470 	50714 	51100 	52316 	54236 	56504 	59145 	63257 	67399 	69570 	70706 	71442 	70181 	68097 	67104 	: 
A,NR,M,Y65-69,UKK1	: 	: 	46700 	46100 	45700 	45600 	45700 	45600 	45700 	45700 	45418 	45450 	45733 	46288 	47138 	48013 	48370 	48742 	50021 	51859 	53967 	56389 	60079 	63872 	65859 	66844 	67318 	65828 	63662 	62540 	: 
A,NR,T,Y65-69,UKK1	: 	: 	100900 	99000 	97600 	96900 	96400 	95800 	95800 	95400 	94875 	94581 	94665 	95390 	96895 	98483 	99084 	99842 	102337 	106095 	110471 	115534 	123336 	131271 	135429 	137550 	138760 	136009 	131759 	129644 	: 
A,NR,F,Y65-69,UKK2	: 	: 	36100 	35300 	34700 	34400 	34100 	34000 	33800 	33500 	33254 	32882 	32714 	32822 	33049 	33346 	33407 	33645 	34634 	36053 	37601 	39454 	42369 	45281 	46877 	47940 	48593 	47631 	45804 	45012 	: 
A,NR,M,Y65-69,UKK2	: 	: 	30500 	29900 	29800 	29800 	29900 	29900 	29700 	29600 	29711 	29775 	30059 	30578 	31144 	31523 	31557 	31759 	32573 	33723 	35219 	37159 	40062 	42882 	44308 	45076 	45561 	44520 	42642 	41702 	: 
A,NR,T,Y65-69,UKK2	: 	: 	66600 	65200 	64500 	64200 	64000 	63900 	63500 	63100 	62965 	62657 	62773 	63400 	64193 	64869 	64964 	65404 	67207 	69776 	72820 	76613 	82431 	88163 	91185 	93016 	94154 	92151 	88446 	86714 	: 
A,NR,F,Y65-69,UKK3	: 	: 	14500 	14500 	14200 	14300 	14300 	14000 	13900 	13900 	13701 	13698 	13879 	14169 	14497 	14785 	14827 	14898 	15266 	16025 	17011 	18059 	19521 	20919 	21628 	21938 	22107 	21588 	20667 	20151 	: 
A,NR,M,Y65-69,UKK3	: 	: 	12700 	12500 	12600 	12600 	12700 	12900 	13100 	13000 	13159 	13252 	13410 	13680 	13956 	14189 	14293 	14419 	14793 	15434 	16203 	17143 	18626 	19969 	20580 	20858 	20798 	20073 	19113 	18566 	: 
A,NR,T,Y65-69,UKK3	: 	: 	27200 	27000 	26800 	26900 	27000 	26900 	27000 	26900 	26860 	26950 	27289 	27849 	28453 	28974 	29120 	29317 	30059 	31459 	33214 	35202 	38147 	40888 	42208 	42796 	42905 	41661 	39780 	38717 	: 
A,NR,F,Y65-69,UKK4	: 	: 	31300 	30800 	30100 	29700 	29600 	29600 	29200 	29000 	29025 	28943 	29094 	29393 	29810 	30266 	30465 	30598 	31264 	32401 	33718 	35288 	37866 	40522 	41815 	42371 	42663 	41812 	40207 	39355 	: 
A,NR,M,Y65-69,UKK4	: 	: 	26400 	25900 	25900 	26000 	26100 	26100 	26200 	26300 	26412 	26526 	26798 	27220 	27669 	28161 	28361 	28506 	29337 	30691 	32104 	33670 	36165 	38460 	39434 	39889 	39958 	38794 	37076 	36233 	: 
A,NR,T,Y65-69,UKK4	: 	: 	57700 	56700 	56000 	55700 	55700 	55700 	55400 	55300 	55437 	55469 	55892 	56613 	57479 	58427 	58826 	59104 	60601 	63092 	65822 	68958 	74031 	78982 	81249 	82260 	82621 	80606 	77283 	75588 	: 
A,NR,F,Y65-69,UKL1	: 	: 	55100 	53800 	52600 	51600 	50500 	49600 	49000 	48600 	48205 	47993 	48155 	48615 	49247 	49736 	50047 	50494 	51363 	52804 	54486 	56108 	59016 	62337 	64157 	65215 	65901 	64762 	62459 	61122 	: 
A,NR,M,Y65-69,UKL1	: 	: 	48100 	47100 	46200 	45300 	44600 	44100 	44000 	43800 	43835 	44099 	44659 	45474 	46364 	47055 	47403 	47971 	49073 	50457 	51976 	53625 	56409 	59633 	61567 	62595 	63129 	61920 	59376 	57928 	: 
A,NR,T,Y65-69,UKL1	: 	: 	103200 	100900 	98800 	96900 	95100 	93700 	93000 	92400 	92040 	92092 	92814 	94089 	95611 	96791 	97450 	98465 	100436 	103261 	106462 	109733 	115425 	121970 	125724 	127810 	129030 	126682 	121835 	119050 	: 
A,NR,F,Y65-69,UKL2	: 	: 	27400 	26800 	26300 	26000 	25600 	25200 	25100 	24800 	24468 	24329 	24330 	24544 	24908 	25263 	25448 	25677 	26257 	26987 	27806 	28697 	30265 	32171 	33353 	33997 	34509 	33988 	32963 	32591 	: 
A,NR,M,Y65-69,UKL2	: 	: 	24100 	23800 	23500 	23300 	23100 	22800 	22600 	22500 	22314 	22264 	22446 	22886 	23345 	23740 	23973 	24198 	24771 	25751 	26685 	27437 	29068 	30953 	31842 	32449 	33030 	32501 	31448 	30876 	: 
A,NR,T,Y65-69,UKL2	: 	: 	51500 	50600 	49800 	49300 	48700 	48000 	47700 	47300 	46782 	46593 	46776 	47430 	48253 	49003 	49421 	49875 	51028 	52738 	54491 	56134 	59333 	63124 	65195 	66446 	67539 	66489 	64411 	63467 	: 
A,NR,F,Y65-69,UKM5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10058 	10035 	10011 	9975 	10047 	10196 	10249 	10278 	10467 	10638 	10686 	10881 	11568 	12315 	12840 	13304 	13614 	13463 	13087 	12959 	: 
A,NR,M,Y65-69,UKM5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8864 	8974 	9064 	9174 	9319 	9457 	9495 	9544 	9687 	9826 	9929 	10218 	11018 	11922 	12626 	13209 	13561 	13400 	12941 	12701 	: 
A,NR,T,Y65-69,UKM5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18922 	19009 	19075 	19149 	19366 	19653 	19744 	19822 	20154 	20464 	20615 	21099 	22586 	24237 	25466 	26513 	27175 	26863 	26028 	25660 	: 
A,NR,F,Y65-69,UKM6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11598 	11650 	11723 	11877 	12085 	12335 	12540 	12776 	13166 	13596 	13870 	14095 	14763 	15490 	15924 	16304 	16628 	16497 	16050 	15898 	: 
A,NR,M,Y65-69,UKM6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10441 	10535 	10650 	10874 	11150 	11446 	11655 	11899 	12320 	12761 	13066 	13434 	14233 	15048 	15564 	15973 	16249 	16050 	15508 	15259 	: 
A,NR,T,Y65-69,UKM6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22039 	22185 	22373 	22751 	23235 	23781 	24195 	24675 	25486 	26357 	26936 	27529 	28996 	30538 	31488 	32277 	32877 	32547 	31558 	31157 	: 
A,NR,F,Y65-69,UKM7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55964 	57519 	58750 	57886 	56103 	55382 	: 
A,NR,M,Y65-69,UKM7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51978 	53476 	54490 	53528 	51807 	51186 	: 
A,NR,T,Y65-69,UKM7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107942 	110995 	113240 	111414 	107910 	106568 	: 
A,NR,F,Y65-69,UKM8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39395 	40209 	40981 	40699 	39869 	39676 	: 
A,NR,M,Y65-69,UKM8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35844 	36639 	37364 	37034 	36314 	36210 	: 
A,NR,T,Y65-69,UKM8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75239 	76848 	78345 	77733 	76183 	75886 	: 
A,NR,F,Y65-69,UKM9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31735 	32362 	32790 	32327 	31494 	31352 	: 
A,NR,M,Y65-69,UKM9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29605 	30266 	30813 	30406 	29627 	29368 	: 
A,NR,T,Y65-69,UKM9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61340 	62628 	63603 	62733 	61121 	60720 	: 
A,NR,F,Y65-69,UKN0	: 	: 	36179 	35985 	35808 	35803 	35841 	35523 	35530 	35174 	35149 	35004 	35196 	35467 	35873 	36348 	36570 	36866 	37841 	39275 	40731 	42256 	43834 	44963 	45432 	45739 	45976 	45800 	45545 	: 	: 
A,NR,M,Y65-69,UKN0	: 	: 	29622 	29616 	29467 	29279 	29215 	29143 	29256 	29391 	29822 	30232 	30755 	31312 	31945 	32501 	32925 	33475 	34554 	36050 	37623 	39217 	40713 	41717 	42214 	42658 	43177 	43442 	43598 	: 	: 
A,NR,T,Y65-69,UKN0	: 	: 	65801 	65601 	65275 	65082 	65056 	64666 	64786 	64565 	64971 	65236 	65951 	66779 	67818 	68849 	69495 	70341 	72395 	75325 	78354 	81473 	84547 	86680 	87646 	88397 	89153 	89242 	89143 	: 	: 
A,NR,F,Y70-74,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15041 	16236 
A,NR,M,Y70-74,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14438 	15200 
A,NR,T,Y70-74,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29479 	31436 
A,NR,F,Y70-74,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20297 	22108 
A,NR,M,Y70-74,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19665 	21011 
A,NR,T,Y70-74,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39962 	43119 
A,NR,F,Y70-74,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17164 	18357 
A,NR,M,Y70-74,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16235 	16845 
A,NR,T,Y70-74,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33399 	35202 
A,NR,F,Y70-74,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,M,Y70-74,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,F,Y70-74,AT11	4678 	5390 	6441 	7550 	8681 	9087 	9149 	8923 	8684 	8440 	8106 	7837 	7662 	7552 	7401 	7247 	7245 	7201 	7056 	6987 	7534 	8009 	8200 	8043 	7970 	7420 	6549 	6121 	6716 	7280 	7793 
A,NR,T,Y70-74,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,M,Y70-74,AT11	2603 	3070 	3817 	4423 	4914 	5149 	5287 	5347 	5399 	5569 	5665 	5770 	5788 	5906 	5869 	5836 	5776 	5790 	5668 	5740 	6351 	6934 	7243 	7213 	7186 	6715 	5900 	5599 	6078 	6640 	7110 
A,NR,T,Y70-74,AT11	7281 	8460 	10258 	11973 	13595 	14236 	14436 	14270 	14083 	14009 	13771 	13607 	13450 	13458 	13270 	13083 	13021 	12991 	12724 	12727 	13885 	14943 	15443 	15256 	15156 	14135 	12449 	11720 	12794 	13920 	14903 
A,NR,F,Y70-74,AT12	26069 	28779 	32820 	37282 	41613 	43390 	43155 	42210 	40894 	39632 	38491 	37567 	36914 	36484 	35914 	35357 	34531 	33978 	33628 	33987 	38038 	42600 	45834 	47439 	48446 	46252 	41619 	38748 	39952 	41017 	41457 
A,NR,M,Y70-74,AT12	14753 	16187 	18389 	20865 	23085 	24325 	24938 	25381 	25959 	27087 	27931 	28752 	29527 	29570 	29468 	29132 	28542 	28491 	28582 	29202 	33370 	37722 	40949 	42155 	43028 	40972 	36705 	33815 	35154 	35920 	36225 
A,NR,T,Y70-74,AT12	40822 	44966 	51209 	58147 	64698 	67715 	68093 	67591 	66853 	66719 	66422 	66319 	66441 	66054 	65382 	64489 	63073 	62469 	62210 	63189 	71408 	80322 	86783 	89594 	91474 	87224 	78324 	72563 	75106 	76937 	77682 
A,NR,F,Y70-74,AT13	32342 	34583 	38675 	43463 	48159 	49884 	49552 	47914 	45202 	42474 	40029 	38098 	36348 	35038 	33468 	32061 	30521 	29262 	28329 	28871 	33810 	39493 	44486 	47954 	51024 	50256 	46717 	43761 	44641 	44270 	43129 
A,NR,M,Y70-74,AT13	17347 	18278 	20139 	22702 	24627 	25197 	25480 	25609 	25283 	25047 	25055 	25118 	24612 	24084 	23319 	22593 	21908 	21639 	21426 	22304 	26575 	31140 	35175 	37744 	40127 	39311 	36224 	34010 	34397 	34251 	33629 
A,NR,T,Y70-74,AT13	49689 	52861 	58814 	66165 	72786 	75081 	75032 	73523 	70485 	67521 	65084 	63216 	60960 	59122 	56787 	54654 	52429 	50901 	49755 	51175 	60385 	70633 	79661 	85698 	91151 	89567 	82941 	77771 	79038 	78521 	76758 
A,NR,F,Y70-74,AT21	9359 	10326 	11791 	13269 	14575 	15354 	15473 	15286 	14988 	14752 	14377 	14193 	14065 	13855 	13446 	13007 	12419 	12138 	11895 	12161 	13424 	14947 	16073 	16632 	16907 	16238 	14720 	14278 	14574 	14871 	15273 
A,NR,M,Y70-74,AT21	6001 	6491 	7384 	8082 	8846 	9195 	9365 	9550 	9744 	10052 	10383 	10664 	10736 	10648 	10348 	9928 	9553 	9523 	9450 	9778 	11064 	12528 	13485 	14025 	14239 	13767 	12314 	12163 	12503 	12852 	13002 
A,NR,T,Y70-74,AT21	15360 	16817 	19175 	21351 	23421 	24549 	24838 	24836 	24732 	24804 	24760 	24857 	24801 	24503 	23794 	22935 	21972 	21661 	21345 	21939 	24488 	27475 	29558 	30657 	31146 	30005 	27034 	26441 	27077 	27723 	28275 
A,NR,F,Y70-74,AT22	21355 	23591 	26871 	30190 	33471 	35126 	35075 	34400 	33363 	32028 	30973 	30105 	29507 	29225 	28502 	27779 	26899 	26253 	25492 	25765 	28645 	31584 	34003 	35283 	35965 	34268 	31165 	29716 	30116 	30599 	30941 
A,NR,M,Y70-74,AT22	12448 	13646 	15445 	17475 	19176 	20004 	20299 	20578 	20765 	21306 	22027 	22573 	22925 	22874 	22365 	21905 	21229 	20763 	20562 	21163 	23845 	26687 	28657 	29590 	30023 	28543 	25686 	24770 	25351 	25766 	26211 
A,NR,T,Y70-74,AT22	33803 	37237 	42316 	47665 	52647 	55130 	55374 	54978 	54128 	53334 	53000 	52678 	52432 	52099 	50867 	49684 	48128 	47016 	46054 	46928 	52490 	58271 	62660 	64873 	65988 	62811 	56851 	54486 	55467 	56365 	57152 
A,NR,F,Y70-74,AT31	22084 	24801 	28404 	32159 	35279 	36403 	35970 	35041 	33644 	32303 	31339 	30719 	30328 	30020 	30074 	29882 	29306 	28937 	28837 	28982 	31585 	34451 	36566 	37535 	37864 	36149 	32455 	31220 	31909 	32708 	33351 
A,NR,M,Y70-74,AT31	12074 	13524 	15569 	17478 	18997 	19863 	20156 	20180 	20708 	21589 	22255 	22939 	23702 	23929 	23801 	23704 	23373 	23246 	23005 	23473 	26099 	28762 	30678 	31617 	31957 	30170 	27296 	26752 	27389 	28110 	29205 
A,NR,T,Y70-74,AT31	34158 	38325 	43973 	49637 	54276 	56266 	56126 	55221 	54352 	53892 	53594 	53658 	54030 	53949 	53875 	53586 	52679 	52183 	51842 	52455 	57684 	63213 	67244 	69152 	69821 	66319 	59751 	57972 	59298 	60818 	62556 
A,NR,F,Y70-74,AT32	7486 	8408 	9648 	10836 	11824 	12189 	12072 	11549 	11004 	10635 	10394 	10136 	10198 	10209 	10081 	9861 	9732 	9647 	9465 	9625 	10945 	12305 	13398 	14145 	14708 	14338 	13235 	12985 	13267 	13541 	13701 
A,NR,M,Y70-74,AT32	4690 	5186 	5901 	6399 	6803 	6965 	6772 	6697 	6922 	7202 	7551 	7925 	8189 	8027 	7991 	7918 	7793 	7642 	7785 	7986 	9075 	10230 	11379 	11974 	12391 	12137 	11242 	10958 	11217 	11441 	11551 
A,NR,T,Y70-74,AT32	12176 	13594 	15549 	17235 	18627 	19154 	18844 	18246 	17926 	17837 	17945 	18061 	18387 	18236 	18072 	17779 	17525 	17289 	17250 	17611 	20020 	22535 	24777 	26119 	27099 	26475 	24477 	23943 	24484 	24982 	25252 
A,NR,F,Y70-74,AT33	9036 	10040 	11456 	12819 	13814 	14420 	14372 	14124 	13748 	13510 	13395 	13272 	13195 	13230 	13087 	12939 	12702 	12714 	12799 	13263 	14561 	16068 	17461 	18246 	18677 	18261 	16922 	16560 	16797 	17267 	17424 
A,NR,M,Y70-74,AT33	5404 	5828 	6535 	7192 	7795 	8146 	8335 	8473 	8824 	9431 	9974 	10367 	10729 	10853 	10941 	10844 	10765 	10808 	10987 	11255 	12494 	13843 	15040 	15689 	15979 	15618 	14518 	14238 	14466 	14898 	15186 
A,NR,T,Y70-74,AT33	14440 	15868 	17991 	20011 	21609 	22566 	22707 	22597 	22572 	22941 	23369 	23639 	23924 	24083 	24028 	23783 	23467 	23522 	23786 	24518 	27055 	29911 	32501 	33935 	34656 	33879 	31440 	30798 	31263 	32165 	32610 
A,NR,F,Y70-74,AT34	3969 	4276 	4964 	5647 	6326 	6686 	6832 	6823 	6696 	6584 	6556 	6557 	6344 	6434 	6518 	6574 	6591 	6747 	6829 	6993 	7509 	8085 	8642 	8854 	8993 	8793 	8199 	8084 	8255 	8496 	8654 
A,NR,M,Y70-74,AT34	2139 	2394 	2798 	3254 	3654 	3909 	3992 	4161 	4312 	4528 	4767 	5023 	5186 	5367 	5390 	5394 	5382 	5447 	5503 	5724 	6352 	6991 	7440 	7762 	7941 	7668 	7085 	7144 	7269 	7498 	7812 
A,NR,T,Y70-74,AT34	6108 	6670 	7762 	8901 	9980 	10595 	10824 	10984 	11008 	11112 	11323 	11580 	11530 	11801 	11908 	11968 	11973 	12194 	12332 	12717 	13861 	15076 	16082 	16616 	16934 	16461 	15284 	15228 	15524 	15994 	16466 
A,NR,F,Y70-74,BE10	19585 	21155 	23158 	25263 	27291 	28011 	26928 	26084 	25229 	24352 	23635 	23464 	22940 	22617 	22054 	21402 	20531 	20094 	19577 	19341 	19325 	19292 	18560 	18317 	18318 b	18547 	18742 	19956 	20696 	21175 	21290 
A,NR,M,Y70-74,BE10	12263 	13556 	15209 	16703 	18005 	18470 	17946 	17375 	16981 	16668 	16272 	16128 	16033 	15966 	15637 	15465 	15067 	14821 	14572 	14577 	14546 	14614 	14121 	13997 	14092 b	14268 	14358 	15235 	15834 	16226 	16356 
A,NR,T,Y70-74,BE10	31848 	34711 	38367 	41966 	45296 	46481 	44874 	43459 	42210 	41020 	39907 	39592 	38973 	38583 	37691 	36867 	35598 	34915 	34149 	33918 	33871 	33906 	32681 	32314 	32410 b	32815 	33100 	35191 	36530 	37401 	37646 
A,NR,F,Y70-74,BE21	27311 	29264 	32243 	35449 	38777 	40443 	40181 	40116 	40275 	40253 	40543 	41185 	41486 	42132 	42189 	42057 	41442 	41055 	40497 	40809 	40821 	40120 	38632 	37848 	37533 b	38171 	39167 	42032 	44075 	45174 	45820 
A,NR,M,Y70-74,BE21	20826 	22579 	25251 	27928 	30673 	32097 	32236 	32238 	32567 	32867 	33287 	34074 	34948 	35651 	35826 	35749 	35494 	35229 	35245 	35932 	36256 	35846 	34747 	34079 	33963 b	34861 	35849 	38845 	40707 	41922 	42721 
A,NR,T,Y70-74,BE21	48137 	51843 	57494 	63377 	69450 	72540 	72417 	72354 	72842 	73120 	73830 	75259 	76434 	77783 	78015 	77806 	76936 	76284 	75742 	76741 	77077 	75966 	73379 	71927 	71496 b	73032 	75016 	80877 	84782 	87096 	88541 
A,NR,F,Y70-74,BE22	9106 	9840 	10912 	12097 	13482 	14571 	15127 	15511 	15984 	16313 	16579 	17102 	17441 	17928 	18302 	18572 	18593 	18663 	18845 	19078 	19301 	19277 	18872 	18446 	18377 b	18300 	18631 	19872 	20822 	21667 	22566 
A,NR,M,Y70-74,BE22	7243 	7847 	8679 	9722 	11013 	11983 	12529 	12989 	13453 	13776 	14067 	14547 	15131 	15647 	15930 	16352 	16453 	16686 	17033 	17474 	17751 	17739 	17281 	17053 	16938 b	17002 	17627 	18831 	19958 	21007 	21989 
A,NR,T,Y70-74,BE22	16349 	17687 	19591 	21819 	24495 	26554 	27656 	28500 	29437 	30089 	30646 	31649 	32572 	33575 	34232 	34924 	35046 	35349 	35878 	36552 	37052 	37016 	36153 	35499 	35315 b	35302 	36258 	38703 	40780 	42674 	44555 
A,NR,F,Y70-74,BE23	22401 	24020 	26555 	29605 	32805 	33964 	34013 	33994 	33813 	33887 	33925 	34510 	35242 	36080 	36318 	36736 	36041 	35566 	35003 	34903 	34666 	34013 	32284 	31206 	30944 b	31410 	32434 	35076 	37101 	38228 	38742 
A,NR,M,Y70-74,BE23	16985 	18268 	20225 	22739 	25260 	26168 	26360 	26413 	26348 	26288 	26526 	27073 	28062 	28976 	29568 	29963 	29859 	29445 	29479 	29706 	29742 	29067 	27838 	27119 	27268 b	27869 	29065 	32009 	33876 	34788 	35648 
A,NR,T,Y70-74,BE23	39386 	42288 	46780 	52344 	58065 	60132 	60373 	60407 	60161 	60175 	60451 	61583 	63304 	65056 	65886 	66699 	65900 	65011 	64482 	64609 	64408 	63080 	60122 	58325 	58212 b	59279 	61499 	67085 	70977 	73016 	74390 
A,NR,F,Y70-74,BE24	15202 	16609 	18663 	20758 	23119 	24334 	24613 	24758 	24957 	24918 	25086 	25547 	25950 	26438 	26501 	26418 	25818 	25291 	25046 	25081 	24938 	24456 	23686 	23088 	23171 b	23433 	24252 	25920 	27096 	27775 	28377 
A,NR,M,Y70-74,BE24	12125 	13415 	15001 	16719 	18646 	19768 	20056 	20364 	20728 	20784 	20759 	21085 	21493 	21724 	22063 	22265 	21970 	21695 	21580 	21498 	21275 	20937 	20309 	19907 	20198 b	20848 	21620 	23284 	24521 	25201 	25565 
A,NR,T,Y70-74,BE24	27327 	30024 	33664 	37477 	41765 	44102 	44669 	45122 	45685 	45702 	45845 	46632 	47443 	48162 	48564 	48683 	47788 	46986 	46626 	46579 	46213 	45393 	43995 	42995 	43369 b	44281 	45872 	49204 	51617 	52976 	53942 
A,NR,F,Y70-74,BE25	18092 	19534 	21449 	24212 	27266 	29073 	29553 	30123 	30093 	30116 	30267 	30732 	31399 	32037 	32157 	32215 	31828 	31181 	31006 	31322 	31539 	31122 	30331 	29598 	29520 b	29558 	30688 	32790 	34320 	35251 	35618 
A,NR,M,Y70-74,BE25	13619 	14933 	16705 	19029 	21429 	22719 	23223 	23452 	23589 	23611 	23828 	24292 	24938 	25696 	26221 	26673 	26644 	26698 	26898 	27345 	27470 	27212 	26577 	26056 	26110 b	26738 	27932 	29888 	31414 	32274 	32937 
A,NR,T,Y70-74,BE25	31711 	34467 	38154 	43241 	48695 	51792 	52776 	53575 	53682 	53727 	54095 	55024 	56337 	57733 	58378 	58888 	58472 	57879 	57904 	58667 	59009 	58334 	56908 	55654 	55630 b	56296 	58620 	62678 	65734 	67525 	68555 
A,NR,F,Y70-74,BE31	4518 	5043 	5766 	6501 	7291 	7744 	7764 	7703 	7693 	7624 	7607 	7710 	7898 	8025 	8029 	7944 	7807 	7669 	7528 	7651 	7791 	7848 	7674 	7628 	7766 b	7968 	8339 	9326 	10215 	10863 	11219 
A,NR,M,Y70-74,BE31	3404 	3893 	4386 	4991 	5511 	5899 	5950 	5919 	5979 	6014 	6112 	6265 	6418 	6486 	6488 	6503 	6320 	6288 	6337 	6381 	6561 	6567 	6435 	6408 	6604 b	6852 	7164 	8003 	8721 	9153 	9408 
A,NR,T,Y70-74,BE31	7922 	8936 	10152 	11492 	12802 	13643 	13714 	13622 	13672 	13638 	13719 	13975 	14316 	14511 	14517 	14447 	14127 	13957 	13865 	14032 	14352 	14415 	14109 	14036 	14370 b	14820 	15503 	17329 	18936 	20016 	20627 
A,NR,F,Y70-74,BE32	22097 	25053 	29137 	32801 	36249 	38052 	37634 	36878 	36547 	36133 	35364 	34938 	34702 	34238 	33254 	32546 	30991 	29660 	28536 	28332 	28047 	27496 	26420 	25491 	25250 b	25612 	26481 	29949 	33059 	35364 	37093 
A,NR,M,Y70-74,BE32	15353 	17572 	20362 	23031 	25425 	26789 	26573 	26276 	25821 	25516 	25078 	24931 	24871 	24817 	24275 	23688 	22903 	22133 	21593 	21479 	21437 	21292 	20653 	20165 	20264 b	20853 	21501 	24365 	27154 	29144 	30697 
A,NR,T,Y70-74,BE32	37450 	42625 	49499 	55832 	61674 	64841 	64207 	63154 	62368 	61649 	60442 	59869 	59573 	59055 	57529 	56234 	53894 	51793 	50129 	49811 	49484 	48788 	47073 	45656 	45514 b	46465 	47982 	54314 	60213 	64508 	67790 
A,NR,F,Y70-74,BE33	18468 	19960 	22362 	24885 	27153 	28343 	28407 	28193 	27881 	27720 	27621 	27480 	27403 	27357 	26872 	26279 	25435 	24756 	23977 	23969 	23924 	23882 	22978 	22633 	22169 b	22127 	22273 	24230 	25951 	27470 	28623 
A,NR,M,Y70-74,BE33	12459 	13748 	15622 	17649 	19379 	20367 	20596 	20552 	20697 	20576 	20493 	20574 	20763 	20815 	20834 	20672 	20113 	19587 	19240 	19223 	19334 	19366 	18878 	18430 	18157 b	18164 	18315 	20273 	22011 	23666 	24940 
A,NR,T,Y70-74,BE33	30927 	33708 	37984 	42534 	46532 	48710 	49003 	48745 	48578 	48296 	48114 	48054 	48166 	48172 	47706 	46951 	45548 	44343 	43217 	43192 	43258 	43248 	41856 	41063 	40326 b	40291 	40588 	44503 	47962 	51136 	53563 
